TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/07/28
TIME	15:29:19
SPECTROMETER/DATA SYSTEM	
LOCALE	1036
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700,0000
LASTX	  250,0000
NPOINTS	     451
FIRSTY	     0,01778
MAXY	     0,84352
MINY	     0,01737
XYDATA
458,0000	0,22947
457,0000	0,221796
456,0000	0,214283
455,0000	0,206929
454,0000	0,199744
453,0000	0,192764
452,0000	0,18603
451,0000	0,179595
450,0000	0,173428
449,0000	0,167549
448,0000	0,162008
447,0000	0,156813
446,0000	0,151959
445,0000	0,147466
444,0000	0,143359
443,0000	0,139542
442,0000	0,136081
441,0000	0,132994
440,0000	0,130269
439,0000	0,127952
438,0000	0,126085
437,0000	0,12465
436,0000	0,123636
435,0000	0,12306
434,0000	0,122939
433,0000	0,123315
432,0000	0,124174
431,0000	0,125491
430,0000	0,127358
429,0000	0,129752
428,0000	0,132656
427,0000	0,136212
426,0000	0,140379
425,0000	0,145118
424,0000	0,150483
423,0000	0,156403
422,0000	0,162863
421,0000	0,169878
420,0000	0,177541
419,0000	0,185581
418,0000	0,19405
417,0000	0,202791
416,0000	0,21178
415,0000	0,221006
414,0000	0,23046
413,0000	0,240054
412,0000	0,24983
411,0000	0,259657
410,0000	0,269437
409,0000	0,279163
408,0000	0,288747
407,0000	0,298168
406,0000	0,307393
405,0000	0,316443
404,0000	0,325254
403,0000	0,333814
402,0000	0,342016
401,0000	0,349961
400,0000	0,357636
399,0000	0,365052
398,0000	0,372143
397,0000	0,378881
396,0000	0,385204
395,0000	0,391146
394,0000	0,396705
393,0000	0,401776
392,0000	0,406375
391,0000	0,410487
390,0000	0,414045
389,0000	0,416994
388,0000	0,419353
387,0000	0,421133
386,0000	0,422376
385,0000	0,423008
384,0000	0,423076
383,0000	0,422543
382,0000	0,421427
381,0000	0,419793
380,0000	0,417642
379,0000	0,41497
378,0000	0,41183
377,0000	0,408236
376,0000	0,404221
375,0000	0,399787
374,0000	0,394996
373,0000	0,389959
372,0000	0,384645
371,0000	0,379077
370,0000	0,373757
369,0000	0,36699
368,0000	0,359956
367,0000	0,353088
366,0000	0,346108
365,0000	0,338921
364,0000	0,331465
363,0000	0,323821
362,0000	0,316142
361,0000	0,308414
360,0000	0,30071
359,0000	0,292966
358,0000	0,285191
357,0000	0,277482
356,0000	0,269831
355,0000	0,262263
354,0000	0,254834
353,0000	0,247476
352,0000	0,240272
351,0000	0,233178
350,0000	0,226345
349,0000	0,219655
348,0000	0,21316
347,0000	0,206871
346,0000	0,200839
345,0000	0,195047
344,0000	0,189486
343,0000	0,18424
342,0000	0,179297
341,0000	0,174641
340,0000	0,169923
339,0000	0,165952
338,0000	0,162369
337,0000	0,159167
336,0000	0,156376
335,0000	0,153868
334,0000	0,151635
333,0000	0,149663
332,0000	0,148038
331,0000	0,146644
330,0000	0,145502
329,0000	0,144551
328,0000	0,143813
327,0000	0,143204
326,0000	0,142794
325,0000	0,142546
324,0000	0,14242
323,0000	0,1424
322,0000	0,142478
321,0000	0,142592
320,0000	0,142817
319,0000	0,143188
318,0000	0,143667
317,0000	0,144296
316,0000	0,145088
315,0000	0,146133
314,0000	0,147502
313,0000	0,149264
312,0000	0,151485
311,0000	0,154244
310,0000	0,157566
309,0000	0,161563
308,0000	0,166288
307,0000	0,17193
306,0000	0,178503
305,0000	0,186257
304,0000	0,195288
303,0000	0,20583
302,0000	0,218175
301,0000	0,232453
300,0000	0,248708
299,0000	0,267009
298,0000	0,287333
297,0000	0,309642
296,0000	0,333997
295,0000	0,36051
294,0000	0,389125
293,0000	0,419779
292,0000	0,4523
291,0000	0,486379
290,0000	0,521834
289,0000	0,558302
288,0000	0,595289
287,0000	0,632168
286,0000	0,668115
285,0000	0,702319
284,0000	0,734049
283,0000	0,762536
282,0000	0,787287
281,0000	0,807895
280,0000	0,823894
279,0000	0,835028
278,0000	0,841375
277,0000	0,843522
276,0000	0,842076
275,0000	0,83769
274,0000	0,831026
273,0000	0,822378
272,0000	0,81215
271,0000	0,800648
270,0000	0,788219
269,0000	0,775177
268,0000	0,761706
267,0000	0,747879
266,0000	0,733782
265,0000	0,719523
264,0000	0,705247
263,0000	0,691199
262,0000	0,67748
261,0000	0,664166
260,0000	0,651421
259,0000	0,639377
258,0000	0,62825
257,0000	0,618291
256,0000	0,609757
255,0000	0,602997
254,0000	0,598357
253,0000	0,596312
252,0000	0,597219
251,0000	0,601568
250,0000	0,60979

##### Extended Information
[Comments]
Sample name
Comment
User
Division
Company	IBS38

[Detailed Information]
Creation date	28/07/2014 15:29

Data array type	Linear data array
Horizontal axis	Wavelength [nm]
Vertical axis	Abs
Start	700 nm
End	250 nm
Data interval	1 nm
Data points	451     

[Measurement Information]
Instrument name	UV/Vis JASCO
Model name	V-650
